Mean Age vs Normalized N2O relationships based on 1990s ER-2 CO2 measurements
    Norm N2O   Andrews Mean Age  Ray Mean Age   SD
    0.0300000          NaN      6.26156     0.125082
    0.0400000          NaN      6.07982     0.146989
    0.0500000          NaN      5.99294     0.136690
    0.0600000          NaN      5.90037    0.0949449
    0.0700000          NaN      5.83040     0.274319
    0.0800000          NaN      5.79791     0.195067
    0.0900000          NaN      5.77315     0.152778
     0.100000          NaN      5.74936     0.159194
     0.110000          NaN      5.73699     0.131772
     0.120000          NaN      5.73386     0.118148
     0.130000          NaN      5.70014     0.126502
     0.140000          NaN      5.68589     0.179052
     0.150000          NaN      5.67311     0.166795
     0.160000      5.73252      5.67527     0.187899
     0.170000      5.68337      5.67294     0.186302
     0.180000      5.63598      5.67438     0.138543
     0.190000      5.59027      5.66330     0.143894
     0.200000      5.54615      5.65312     0.112326
     0.210000      5.50355      5.63614     0.119284
     0.220000      5.46238      5.62078    0.0871656
     0.230000      5.42256      5.60146    0.0804148
     0.240000      5.38401      5.57658    0.0833595
     0.250000      5.34665      5.54608    0.0994808
     0.260000      5.31040      5.51229     0.105349
     0.270000      5.27518      5.47940     0.133218
     0.280000      5.24090      5.44413     0.140200
     0.290000      5.20749      5.41519     0.118030
     0.300000      5.17486      5.38297     0.127426
     0.310000      5.14294      5.35230     0.137536
     0.320000      5.11163      5.32479     0.128016
     0.330000      5.08087      5.30236     0.122777
     0.340000      5.05057      5.28055     0.115058
     0.350000      5.02064      5.26927     0.106664
     0.360000      4.99102      5.25333     0.116798
     0.370000      4.96160      5.24229    0.0996542
     0.380000      4.93233      5.21810     0.207997
     0.390000      4.90310      5.19172     0.447943
     0.400000      4.87385      5.16049     0.229624
     0.410000      4.84449      5.12931     0.134813
     0.420000      4.81494      5.08902     0.223657
     0.430000      4.78512      5.06665     0.180231
     0.440000      4.75495      5.04209     0.191954
     0.450000      4.72435      5.01363     0.202813
     0.460000      4.69323      4.99734     0.170816
     0.470000      4.66151      4.96711     0.160275
     0.480000      4.62912      4.93122     0.160796
     0.490000      4.59598      4.90047     0.167292
     0.500000      4.56199      4.82150     0.178745
     0.510000      4.52708      4.77654     0.188201
     0.520000      4.49117      4.74191     0.797508
     0.530000      4.45418      4.71251     0.198327
     0.540000      4.41603      4.67408     0.198888
     0.550000      4.37663      4.68028     0.185574
     0.560000      4.33590      4.63510     0.178081
     0.570000      4.29377      4.58617     0.174659
     0.580000      4.25015      4.51782     0.174558
     0.590000      4.20497      4.44645     0.158586
     0.600000      4.15813      4.38090     0.159953
     0.610000      4.10956      4.31805     0.165763
     0.620000      4.05918      4.25186     0.164793
     0.630000      4.00690      4.19288     0.164577
     0.640000      3.95265      4.13389     0.160237
     0.650000      3.89635      4.06945     0.157512
     0.660000      3.83790      4.00468     0.154039
     0.670000      3.77724      3.94441     0.164934
     0.680000      3.71428      3.87694     0.170694
     0.690000      3.64894      3.80828     0.185788
     0.700000      3.58114      3.73614     0.201157
     0.710000      3.51079      3.66667     0.195016
     0.720000      3.43782      3.58881     0.206178
     0.730000      3.36215      3.51646     0.199059
     0.740000      3.28369      3.44071     0.214910
     0.750000      3.20236      3.36090     0.213610
     0.760000      3.12049      3.27355     0.211646
     0.770000      3.03578      3.18599     0.229906
     0.780000      2.94779      3.08859     0.232882
     0.790000      2.85629      2.99308     0.245636
     0.800000      2.76109      2.89811     0.260515
     0.810000      2.66202      2.80380     0.276813
     0.820000      2.55892      2.70729     0.274764
     0.830000      2.45168      2.61055     0.285795
     0.840000      2.34019      2.50726     0.284798
     0.850000      2.22440      2.39768     0.292530
     0.860000      2.10425      2.28332     0.293312
     0.870000      1.97973      2.16014     0.279105
     0.880000      1.85080      2.02788     0.290635
     0.890000      1.71758      1.88277     0.296098
     0.900000      1.58054      1.73509     0.321343
     0.910000      1.43968      1.58476     0.271700
     0.920000      1.29500      1.42330     0.272265
     0.930000      1.14650      1.27229     0.302254
     0.940000     0.994175      1.12118     0.279055
     0.950000     0.838031     0.983930     0.360343
     0.960000     0.678067     0.798280     0.402533
     0.970000     0.514281     0.627406     0.462583
     0.980000     0.346675     0.453170     0.273609
     0.990000     0.175248     0.272289     0.238521
      1.00000  1.72729e-06    0.0980305     0.234475
